GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
1,1533,1533,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,NA,NA,NA,NA,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hedin, 1917; Hewitt, 2014; Bazai et al., 2021)","Hedin, S., 1917. Southern Tibet. Stockholm; 34; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht;  Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,NA
2,1560,1560,NA,NA,NA,Machhapuchhre,No lake,NA,G084009E28557N,28.52,83.992,3741,NA,NA,NA,NA,Supraglacial,Y,N,15_1,11,Nepal,Gandaki,Seti,NA,NA,NA,NA,NA,NA,NA,50-60m thick debris covering Pokhara basin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Ives, Shrestha and Mool, 2010; ICIMOD, 2011)","Ives, J.D., Shrestha, R.B., Mool, P.K., 2010. Formation of Glacial Lakes in the Hindu Kush-Himalayas and GLOF Risk Assessment. ICIMOD, Kathmandu, Nepal; ICIMOD, 2011. Glacial Lakes and Glacial Lake Outburst Floods in Nepal. ICIMOD",NA,NA
3,1661,1661,NA,NA,NA,Biafo,GL075907E35687N,"2, 4",G075593E36006N,35.687,75.907,3059,NA,NA,NA,NA,NA,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Braldu,Glacier advance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entire village destroyed,NA,NA,NA,NA,"(Godwin-Austen, 1864)","Godwin-Austen, H.H., 1864. On the Glaciers of the Mustakh Range. The Journal of the Royal Geographical Society of London 34, 19NA56. https://doi.org/10.2307/1798464",NA,NA
4,1780,1780,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,NA,NA,NA,NA,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,Strachey (1853) reported that the oldest flood occurred in ~1780 in the upper Shyok valley due to the bursting of Kumdan glacier lake. His conclusion was based on interview with eighty years old resident of the Shyok valley.
6,1833,1833,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,NA,NA,NA,NA,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528NA551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,NA
5,1833,1833,NA,NA,NA,Yashkuk-Yaz,Ephemeral,NA,G074282E36698N,36.824,74.369,3370,NA,NA,NA,NA,NA,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,Entire village destroyed,NA,NA,NA,NA,"(Hewitt and Liu, 2010)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528NA551. https://doi.org/10.2747/0272-3646.31.6.528",NA,NA
7,1835,1835,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,34.930229,76.615853,2628,Observation,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,"Two Kumdan glaciers generated obstacles in the upper Shyok valley during June of 1835. The height of ice dam made by an upper glacier (possibly Chong Kumdan) was 700 vertical feet, above the valley bottom and a large lake accumulated between Kumdan and Gyapahan.  The sudden burst of lake resulted in a large discharge downstream. Maximum devastation occurred in Lagzhung village (mid Nubra) and Chorbat (Balti)."
8,1839,1839,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,NA,NA,NA,NA,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528NA551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,NA
9,1842,1842,NA,NA,NA,Chong Kumden,Ephemeral,NA,G077657E35156N,35.172,77.702,4691,NA,NA,NA,NA,Ice dammed,Y,Y,14_2,9,India,Ladakh,Shyok,Surging glacier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528NA551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",NA,NA
10,1844,1844,NA,NA,Karambar ,NA,GL074079E36622N,"2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hewitt, 1982; Iturrizaga, 2005a)","Hewitt, K., 1982. Natural dams and outburst floods of the Karakoram Himalaya. IAHS-AISH Publication Hydrological Aspects of Alpine and High Mountain Area (as (Proceedings of the Exeter Symposium, Juiy 1982)); Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1NA47. https://doi.org/10.1007/s10708-005-2395-x",NA,NA
