,Year_approx,Lake_name,Glacier_name,GL_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Lake_type,Transboundary,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Repeat
0,1533.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
1,1560.0,Machhapuchhre,Machhapuchhre,No lake,28.52,83.992,3741.0,28.542063219607844,85.27488900130719,4166.418954248366,Supraglacial,1,Nepal,Gandaki,Seti,Missing,Missing,Missing,0
2,1661.0,Biafo,Biafo,GL075907E35687N,35.687,75.907,3059.0,36.25575128013085,74.28681623205922,2357.9821625344352,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Braldu,Glacier advance,Missing,Missing,1
3,1780.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
4,1833.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
5,1833.0,Yashkuk-Yaz,Yashkuk-Yaz,Ephemeral,36.824,74.369,3370.0,36.25575128013085,74.28681623205922,2357.9821625344352,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Missing,Missing,0
6,1835.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,34.930229,76.615853,2628.0,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
7,1839.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
8,1842.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
9,1844.0,Karambar ,Unnamed Glacier in Pakistan,GL074079E36622N,36.6214,74.07906,2935.0,36.09599818181818,73.80901454545454,2070.6363636363635,Ice dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
10,1846.0,Kuturgansuu,Kuturgansuu,Ephemeral,42.522,74.609,3470.0,42.535,74.658,2170.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Alamedin,Missing,Missing,Missing,1
11,1850.0,Tarshing,Tarshing,Ephemeral,35.232,74.722,2940.0,36.25575128013085,74.28681623205922,2357.9821625344352,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Indus,Missing,Missing,Missing,1
12,1855.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.989549,73.61331542857143,1015.4285714285714,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
13,1860.0,Karambar ,Unnamed Glacier in Pakistan,GL074079E36622N,36.6214,74.07906,2935.0,36.09599818181818,73.80901454545454,2070.6363636363635,Ice dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
14,1860.0,Unnamed Lake in Pakistan,Unnamed Glacier in Pakistan,Ephemeral,35.668,75.378,4030.0,35.674875,75.445221,2370.0,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Shigar,Missing,Missing,Missing,0
15,1864.0,Kichik Kumden,Kichik Kumden,Ephemeral,35.128,77.763,4613.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
16,1865.0,Sokhter Rabot ,Unnamed Glacier in Pakistan,Ephemeral,36.7946,73.99494,3463.0,35.922147,74.352607,1430.0,Ice dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
17,1865.0,Karambar ,Unnamed Glacier in Pakistan,GL074079E36622N,36.6214,74.07906,2935.0,35.926146,74.266804,1470.0,Ice dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
18,1869.0,Kichik Kumden,Kichik Kumden,Ephemeral,35.128,77.763,4613.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
19,1871.0,Aktash,Aktash,Ephemeral,35.102,77.774,4581.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
20,1873.0,Batura,Batura,Ephemeral,36.510556,74.850591,2713.0,36.463266,74.901306,2450.0,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Missing,Missing,1
21,1877.0,Aksay,Aksay,GL079841E42200N,42.528,74.5405,3637.0,42.58,74.481,2015.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Ala Archa,Missing,Missing,Missing,1
22,1879.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.773033,72.23978,260.0,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
23,1880.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
24,1882.0,Khurdopin ,Khurdopin ,Ephemeral,36.344239,75.474953,3482.0,36.36508104166666,74.96709620833333,2550.5833333333335,Ice dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Missing,Subglacial tunnel,1
25,1882.0,Chong Kumden,Chong Kumden,Ephemeral,35.172,77.702,4691.0,33.773033,72.23978,260.0,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
26,1882.0,Kuturgansuu,Kuturgansuu,Ephemeral,42.522,74.609,3470.0,42.535,74.658,2170.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Alamedin,Missing,Missing,Missing,1
